Season,Circuit,Driver,Stint,Compound,NLaps,TrainLaps,LinearSlope,LateStintExtraSeconds,DegradationAccelerates
2024,Bahrain,ALB,2.0,HARD,18,12,0.11197493734335841,-0.5081165413533929,False
2024,Bahrain,ALB,3.0,HARD,16,10,0.08490350877192772,0.577833333333345,True
2024,Bahrain,ALO,2.0,HARD,22,14,0.036403508771925885,0.5418837719298679,True
2024,Bahrain,ALO,3.0,HARD,14,9,0.03446600877192996,0.6587554824561209,True
2024,Bahrain,BOT,2.0,HARD,15,10,0.13523684210526454,0.07124999999998635,True
2024,Bahrain,BOT,3.0,HARD,23,15,0.029546365914786828,0.5788145363408557,True
2024,Bahrain,GAS,2.0,HARD,16,10,0.1240035087719292,0.08003333333334457,True
2024,Bahrain,HAM,2.0,HARD,18,12,0.02049795321637444,0.5627201754386041,True
2024,Bahrain,HAM,3.0,HARD,22,14,0.1090701754385961,0.06617543859648833,True
2024,Bahrain,HUL,3.0,HARD,16,10,0.07223684210526216,0.045283625730995425,True
2024,Bahrain,HUL,4.0,SOFT,14,9,0.04744636591478541,0.5542894736842271,True
2024,Bahrain,LEC,2.0,HARD,19,12,0.06448684210526365,-0.038338032581452,False
2024,Bahrain,LEC,3.0,HARD,20,13,0.094361842105263,0.07929887218044282,True
2024,Bahrain,MAG,2.0,HARD,18,12,0.11580350877193198,-0.5436701754386041,False
2024,Bahrain,MAG,3.0,HARD,22,14,0.12840350877193174,0.149423245614015,True
2024,Bahrain,NOR,2.0,HARD,17,11,0.08011779448621528,0.22509523809522847,True
2024,Bahrain,NOR,3.0,HARD,22,14,0.10913078149920352,0.1809605263157792,True
2024,Bahrain,OCO,2.0,HARD,17,11,0.1836535087719291,-0.837598684210524,False
2024,Bahrain,OCO,3.0,HARD,22,14,0.0931535087719304,0.2042812500000064,True
2024,Bahrain,PER,2.0,HARD,18,12,0.05710350877193306,0.22110350877188742,True
2024,Bahrain,PER,3.0,SOFT,19,12,0.11504636591478634,0.23222493734336883,True
2024,Bahrain,PIA,2.0,HARD,19,12,0.08432017543859871,0.2128969298245238,True
2024,Bahrain,PIA,3.0,HARD,21,14,0.12768922305764363,-0.002941102756880452,False
2024,Bahrain,RIC,2.0,HARD,19,12,0.1417701754385971,-0.506172556390983,False
2024,Bahrain,RIC,3.0,SOFT,18,12,0.12507017543860144,0.9056666666666165,True
2024,Bahrain,RUS,2.0,HARD,15,10,0.04073684210526412,0.09329122807017712,True
2024,Bahrain,RUS,3.0,HARD,24,16,0.09601714513556656,0.4540398724082948,True
2024,Bahrain,SAI,2.0,HARD,18,12,0.09615350877193002,0.1440219298245561,True
2024,Bahrain,SAI,3.0,HARD,20,13,0.08665350877192779,0.17095363408522246,True
2024,Bahrain,STR,2.0,HARD,15,10,0.14690350877192948,-0.19635701754386617,False
2024,Bahrain,STR,3.0,HARD,26,17,0.08177850877193116,0.019902777777765043,True
2024,Bahrain,TSU,2.0,HARD,17,11,0.12140350877191963,-0.537236842105178,False
2024,Bahrain,TSU,3.0,HARD,19,12,0.08240350877192526,0.6522857142857633,True
2024,Bahrain,VER,2.0,HARD,17,11,0.11440350877192884,0.22909649122807707,True
2024,Bahrain,VER,3.0,SOFT,17,11,0.05640350877192901,0.724114035087716,True
2024,Bahrain,ZHO,2.0,HARD,16,10,0.13573684210526457,-0.3200350877193164,False
2024,Bahrain,ZHO,3.0,HARD,24,16,0.0839035087719271,0.04125877192985428,True
2024,Great Britain,ALB,1.0,MEDIUM,18,12,0.024212454212453053,0.7968162393162453,True
