Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2024,Synthetic Bay,D00,1.0,SOFT,10,0.13713050964247442,0.2281244930896242,False
2024,Synthetic Bay,D00,2.0,HARD,40,0.314088444094097,0.3219980380973734,False
2024,Synthetic Bay,D01,1.0,HARD,28,0.27779886619921434,0.28624817432597055,False
2024,Synthetic Bay,D01,2.0,SOFT,25,0.35712645193019765,0.36649358377084745,False
2024,Synthetic Bay,D02,1.0,MEDIUM,11,0.32429595533829636,0.37040582317111126,False
2024,Synthetic Bay,D02,2.0,HARD,42,0.42131338398676216,0.3917207823497521,True
2024,Synthetic Bay,D03,1.0,HARD,20,0.2721730558099531,0.26766156886596726,True
2024,Synthetic Bay,D03,2.0,MEDIUM,32,0.2940511276052581,0.29846775477958204,False
2024,Synthetic Bay,D04,1.0,SOFT,13,0.2468747410162745,0.26116871449768697,False
2024,Synthetic Bay,D04,2.0,MEDIUM,21,0.45210886327354627,0.45240828907381025,False
2024,Synthetic Bay,D04,3.0,HARD,15,0.23332648361814182,0.23505060544591067,False
2024,Synthetic Bay,D05,1.0,HARD,11,0.4656591887494047,0.49046160678718553,False
2024,Synthetic Bay,D05,2.0,MEDIUM,13,0.298588034281682,0.29995332584301376,False
2024,Synthetic Bay,D05,3.0,SOFT,28,0.2947759123724557,0.2940757708617165,True
2024,Synthetic Bay,D06,1.0,MEDIUM,14,0.24710199926470494,0.2520136081288833,False
2024,Synthetic Bay,D06,2.0,SOFT,37,0.33780535705103576,0.348662550209793,False
2024,Synthetic Bay,D07,1.0,SOFT,13,0.23496990401903856,0.24586888502980325,False
2024,Synthetic Bay,D07,3.0,MEDIUM,24,0.4586188821850555,0.4640688329327807,False
2024,Synthetic Bay,D08,1.0,SOFT,25,0.31270785535832174,0.3052307022138242,True
2024,Synthetic Bay,D08,2.0,HARD,28,0.2697120156846279,0.27401282202481153,False
2024,Synthetic Bay,D09,1.0,HARD,15,0.2498363613531728,0.25147343198074684,False
2024,Synthetic Bay,D09,2.0,SOFT,36,0.29453771858750305,0.29867047267929164,False
2024,Synthetic Bay,D10,1.0,MEDIUM,18,0.34124507039092,0.36916125308549036,False
2024,Synthetic Bay,D10,2.0,HARD,34,0.2673526410092643,0.26041404184803896,True
